Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
lodash,4.17.21,NA,MIT,escape-string-regexp,1.0.5,library,Sindre Sorhus,MIT
lodash,4.17.21,NA,MIT,has-ansi,2.0.0,library,Sindre Sorhus,MIT
lodash,4.17.21,NA,MIT,strip-ansi,3.0.1,library,Sindre Sorhus,MIT
lodash,4.17.21,NA,MIT,supports-color,2.0.0,library,Sindre Sorhus,MIT
lodash,4.17.21,NA,MIT,css-select,1.2.0,library,Felix Boehm,BSD-like
lodash,4.17.21,NA,MIT,dom-serializer,0.1.0,library,Felix Boehm,MIT
lodash,4.17.21,NA,MIT,domelementtype,1.1.3,library,Felix Boehm,NA
lodash,4.17.21,NA,MIT,entities,1.1.1,library,Felix Boehm,BSD-like
lodash,4.17.21,NA,MIT,htmlparser2,3.9.2,library,Felix Boehm,MIT
lodash,4.17.21,NA,MIT,lodash.assignin,4.2.0,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,lodash.bind,4.2.1,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,lodash.defaults,4.2.0,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,lodash.filter,4.6.0,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,lodash.flatten,4.4.0,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,lodash.foreach,4.5.0,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,lodash.map,4.6.0,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,lodash.merge,4.6.2,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,lodash.pick,4.4.0,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,lodash.reduce,4.6.0,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,lodash.reject,4.6.0,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,lodash.some,4.6.0,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,urlgrey,0.4.0,library,Gregg Caines,BSD-2-Clause
lodash,4.17.21,NA,MIT,lcov-parse,0.0.10,library,Dav Glass,BSD-3-Clause
lodash,4.17.21,NA,MIT,log-driver,1.2.5,library,NA,NA
lodash,4.17.21,NA,MIT,minimist,1.2.0,library,James Halliday,MIT
lodash,4.17.21,NA,MIT,doctrine,2.0.0,library,NA,Apache-2.0
lodash,4.17.21,NA,MIT,he,1.2.0,library,Mathias Bynens,MIT
lodash,4.17.21,NA,MIT,mime,1.6.0,library,Robert Kieffer,MIT
lodash,4.17.21,NA,MIT,url-join,2.0.5,library,José F. Romaniello,MIT
lodash,4.17.21,NA,MIT,graceful-fs,4.1.11,library,NA,ISC
lodash,4.17.21,NA,MIT,jsonfile,2.4.0,library,JP Richardson,MIT
lodash,4.17.21,NA,MIT,klaw,1.3.1,library,JP Richardson,MIT
lodash,4.17.21,NA,MIT,fs.realpath,1.0.0,library,Isaac Z. Schlueter,ISC
lodash,4.17.21,NA,MIT,inflight,1.0.6,library,Isaac Z. Schlueter,ISC
lodash,4.17.21,NA,MIT,inherits,2.0.3,library,NA,ISC
lodash,4.17.21,NA,MIT,minimatch,3.0.4,library,Isaac Z. Schlueter,ISC
lodash,4.17.21,NA,MIT,once,1.4.0,library,Isaac Z. Schlueter,ISC
lodash,4.17.21,NA,MIT,path-is-absolute,1.0.1,library,Sindre Sorhus,MIT
lodash,4.17.21,NA,MIT,abbrev,1.0.9,library,Isaac Z. Schlueter,ISC
lodash,4.17.21,NA,MIT,escodegen,1.8.1,library,NA,BSD-2-Clause
lodash,4.17.21,NA,MIT,esprima,2.7.3,library,Ariya Hidayat,BSD-2-Clause
lodash,4.17.21,NA,MIT,handlebars,4.1.2,library,Yehuda Katz,MIT
lodash,4.17.21,NA,MIT,source-map,0.6.1,library,Nick Fitzgerald,BSD-3-Clause
lodash,4.17.21,NA,MIT,uglify-js,3.6.0,library,Mihai Bazon,BSD-2-Clause
lodash,4.17.21,NA,MIT,commander,2.20.0,library,TJ Holowaychuk,MIT
lodash,4.17.21,NA,MIT,js-yaml,3.13.1,library,Vladimir Zapparov,MIT
lodash,4.17.21,NA,MIT,esprima,4.0.1,library,Ariya Hidayat,BSD-2-Clause
lodash,4.17.21,NA,MIT,mkdirp,0.5.1,library,James Halliday,MIT
lodash,4.17.21,NA,MIT,minimist,0.0.8,library,James Halliday,MIT
lodash,4.17.21,NA,MIT,nopt,3.0.6,library,Isaac Z. Schlueter,ISC
lodash,4.17.21,NA,MIT,resolve,1.1.7,library,James Halliday,MIT
lodash,4.17.21,NA,MIT,which,1.3.0,library,Isaac Z. Schlueter,ISC
lodash,4.17.21,NA,MIT,wordwrap,1.0.0,library,James Halliday,MIT
lodash,4.17.21,NA,MIT,cli-table,0.3.1,library,Guillermo Rauch,NA
lodash,4.17.21,NA,MIT,cst,0.4.10,library,Marat Dulin,MIT
lodash,4.17.21,NA,MIT,exit,0.1.2,library,"""Cowboy"" Ben Alman",MIT
lodash,4.17.21,NA,MIT,jscs-jsdoc,2.0.0,library,Alexej Yaroshevich,MIT
lodash,4.17.21,NA,MIT,jscs-preset-wikimedia,1.0.1,library,NA,MIT
lodash,4.17.21,NA,MIT,jsonlint,1.6.3,library,Zach Carter,NA
lodash,4.17.21,NA,MIT,natural-compare,1.2.2,library,Graeme Yeates,MIT
lodash,4.17.21,NA,MIT,pathval,0.1.1,library,Veselin Todorov,MIT
lodash,4.17.21,NA,MIT,prompt,0.2.14,library,Nodejitsu Inc.,NA
lodash,4.17.21,NA,MIT,reserved-words,0.1.2,library,Alexej Yaroshevich,MIT
lodash,4.17.21,NA,MIT,strip-bom,2.0.0,library,Sindre Sorhus,MIT
lodash,4.17.21,NA,MIT,strip-json-comments,1.0.4,library,Sindre Sorhus,MIT
lodash,4.17.21,NA,MIT,to-double-quotes,2.0.0,library,Sindre Sorhus,MIT
lodash,4.17.21,NA,MIT,to-single-quotes,2.0.1,library,Sindre Sorhus,MIT
lodash,4.17.21,NA,MIT,vow-fs,0.3.6,library,Dmitry Filatov,MIT
lodash,4.17.21,NA,MIT,vow,0.4.18,library,Dmitry Filatov,MIT
lodash,4.17.21,NA,MIT,xmlbuilder,3.1.0,library,Ozgur Ozcitak,MIT
lodash,4.17.21,NA,MIT,lodash,3.10.1,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,babel-core,6.26.0,library,Sebastian McKenzie,MIT
lodash,4.17.21,NA,MIT,lodash,4.17.14,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,source-map,0.5.7,library,Nick Fitzgerald,BSD-3-Clause
lodash,4.17.21,NA,MIT,babel-preset-es2015,6.24.1,library,Sebastian McKenzie,MIT
lodash,4.17.21,NA,MIT,babel-preset-stage-0,6.24.1,library,Sebastian McKenzie,MIT
lodash,4.17.21,NA,MIT,cross-spawn,5.1.0,library,IndigoUnited,MIT
lodash,4.17.21,NA,MIT,lodash.assign,4.2.0,library,John-David Dalton,MIT
lodash,4.17.21,NA,MIT,exists-stat,1.0.0,library,Trent Willis,MIT
lodash,4.17.21,NA,MIT,findup-sync,0.4.3,library,"""Cowboy"" Ben Alman",MIT
lodash,4.17.21,NA,MIT,js-reporters,1.2.0,library,NA,MIT
lodash,4.17.21,NA,MIT,walk-sync,0.3.1,library,Jo Liss,MIT
lodash,4.17.21,NA,MIT,is-typedarray,1.0.0,library,Hugh Kennedy,MIT
lodash,4.17.21,NA,MIT,isstream,0.1.2,library,Rod Vagg,MIT
lodash,4.17.21,NA,MIT,json-stringify-safe,5.0.1,library,Isaac Z. Schlueter,ISC
lodash,4.17.21,NA,MIT,performance-now,2.1.0,library,Braveg1rl,MIT
