Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
mongoose,8.18.1,Guillermo Rauch,MIT,readable-stream,3.6.2,library,NA,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,tsd,0.33.0,library,Sam Verschueren,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,globby,11.1.0,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,ignore,5.3.2,library,kael,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,slash,3.0.0,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,typescript,5.9.2,library,Microsoft Corp.,Apache-2.0
mongoose,8.18.1,Guillermo Rauch,MIT,uuid,11.1.0,library,NA,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,webpack,5.101.3,library,Tobias Koppers @sokra,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,eslint-scope,5.1.1,library,NA,BSD-2-Clause
mongoose,8.18.1,Guillermo Rauch,MIT,schema-utils,4.3.2,library,webpack Contrib,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,estraverse,4.3.0,library,NA,BSD-2-Clause
mongoose,8.18.1,Guillermo Rauch,MIT,remapping,2.3.0,library,Justin Ridgewell,Apache-2.0
mongoose,8.18.1,Guillermo Rauch,MIT,code-frame,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,generator,7.28.3,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,helper-compilation-targets,7.27.2,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,helper-module-transforms,7.28.3,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,helpers,7.28.4,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,parser,7.28.4,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,template,7.27.2,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,traverse,7.28.4,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,types,7.28.4,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,convert-source-map,2.0.0,library,Thorsten Lorenz,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,debug,4.4.1,library,Josh Junon,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,gensync,1.0.0-beta.2,library,Logan Smyth,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,json5,2.2.3,library,Aseem Kishore,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,semver,6.3.1,library,GitHub Inc.,ISC
mongoose,8.18.1,Guillermo Rauch,MIT,compat-data,7.28.4,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,helper-plugin-utils,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,helper-validator-option,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-bugfix-firefox-class-in-computed-class-key,7.27.1,library,The Babel Team,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,plugin-bugfix-safari-class-field-initializer-scope,7.27.1,library,The Babel Team,MIT
