Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
jest,30.1.3,NA,NA,sourcemap-codec,1.5.0,library,Rich Harris,MIT
jest,30.1.3,NA,NA,randombytes,2.1.0,library,NA,MIT
jest,30.1.3,NA,NA,safe-buffer,5.2.1,library,Feross Aboukhadijeh,MIT
jest,30.1.3,NA,NA,merge-stream,2.0.0,library,Stephen Sugden,MIT
jest,30.1.3,NA,NA,supports-color,8.1.1,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,has-flag,4.0.0,library,Sindre Sorhus,MIT
jest,30.1.3,NA,NA,resolve-uri,3.1.2,library,Justin Ridgewell,MIT
jest,30.1.3,NA,NA,ajv-formats,2.1.1,library,Evgeny Poberezkin,MIT
jest,30.1.3,NA,NA,ajv-keywords,5.1.0,library,Evgeny Poberezkin,MIT
jest,30.1.3,NA,NA,ajv,8.13.0,library,Evgeny Poberezkin,MIT
jest,30.1.3,NA,NA,fast-deep-equal,3.1.3,library,Evgeny Poberezkin,MIT
jest,30.1.3,NA,NA,json-schema-traverse,1.0.0,library,Evgeny Poberezkin,MIT
jest,30.1.3,NA,NA,require-from-string,2.0.2,library,Vsevolod Strukchinsky,MIT
jest,30.1.3,NA,NA,uri-js,4.4.1,library,Gary Court,BSD-2-Clause
jest,30.1.3,NA,NA,punycode,2.3.1,library,Mathias Bynens,MIT
jest,30.1.3,NA,NA,mime-db,1.52.0,library,NA,MIT
jest,30.1.3,NA,NA,esrecurse,4.3.0,library,NA,BSD-2-Clause
jest,30.1.3,NA,NA,estraverse,4.3.0,library,NA,BSD-2-Clause
jest,30.1.3,NA,NA,estraverse,5.3.0,library,NA,BSD-2-Clause
jest,30.1.3,NA,NA,caniuse-lite,1.0.30001718,library,Ben Briggs,CC-BY-4.0
jest,30.1.3,NA,NA,electron-to-chromium,1.5.158,library,Kilian Valkhof,ISC
jest,30.1.3,NA,NA,node-releases,2.0.19,library,Sergey Rubanov,MIT
jest,30.1.3,NA,NA,update-browserslist-db,1.1.3,library,Andrey Sitnik,MIT
jest,30.1.3,NA,NA,escalade,3.2.0,library,Luke Edwards,MIT
jest,30.1.3,NA,NA,picocolors,1.1.1,library,Alexey Raspopov,ISC
jest,30.1.3,NA,NA,helper-api-error,1.13.2,library,Sven Sauleau,MIT
jest,30.1.3,NA,NA,helper-wasm-bytecode,1.13.2,library,Sven Sauleau,MIT
jest,30.1.3,NA,NA,ieee754,1.13.2,library,NA,MIT
jest,30.1.3,NA,NA,leb128,1.13.2,library,NA,Apache-2.0
jest,30.1.3,NA,NA,utf8,1.13.2,library,Sven Sauleau,MIT
jest,30.1.3,NA,NA,long,4.2.2,library,Daniel Wirtz,Apache-2.0
jest,30.1.3,NA,NA,ieee754,1.2.0,library,Feross Aboukhadijeh,BSD-3-Clause
jest,30.1.3,NA,NA,helper-buffer,1.14.1,library,Sven Sauleau,MIT
jest,30.1.3,NA,NA,helper-wasm-section,1.14.1,library,Sven Sauleau,MIT
jest,30.1.3,NA,NA,wasm-gen,1.14.1,library,Sven Sauleau,MIT
jest,30.1.3,NA,NA,wasm-opt,1.14.1,library,Sven Sauleau,MIT
jest,30.1.3,NA,NA,wast-printer,1.14.1,library,Sven Sauleau,MIT
jest,30.1.3,NA,NA,helper-numbers,1.13.2,library,Sven Sauleau,MIT
jest,30.1.3,NA,NA,floating-point-hex-parser,1.13.2,library,Mauro Bringolf,MIT
jest,30.1.3,NA,NA,eslint,9.6.1,library,NA,MIT
jest,30.1.3,NA,NA,eslint-plugin,8.38.0,library,NA,MIT
jest,30.1.3,NA,NA,parser,8.38.0,library,NA,MIT
jest,30.1.3,NA,NA,typescript-estree,8.38.0,library,NA,MIT
jest,30.1.3,NA,NA,utils,8.38.0,library,NA,MIT
jest,30.1.3,NA,NA,eslint-utils,4.7.0,library,Toru Nagashima,MIT
jest,30.1.3,NA,NA,scope-manager,8.38.0,library,NA,MIT
jest,30.1.3,NA,NA,types,8.38.0,library,NA,MIT
