Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
bcrypt,6.0.0,Nick Campbell,MIT,jest-environment-node,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-get-type,29.6.3,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,parse-json,5.2.0,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,strip-json-comments,3.1.1,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,graceful-fs,4.1.9,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,anymatch,3.1.3,library,Elan Shanker,ISC
bcrypt,6.0.0,Nick Campbell,MIT,fb-watchman,2.0.2,library,Wez Furlong,Apache-2.0
bcrypt,6.0.0,Nick Campbell,MIT,fsevents,2.3.3,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,walker,1.0.8,library,Naitik Shah,Apache-2.0
bcrypt,6.0.0,Nick Campbell,MIT,code-frame,7.26.2,library,The Babel Team,MIT
bcrypt,6.0.0,Nick Campbell,MIT,stack-utils,2.0.3,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,stack-utils,2.0.6,library,James Talmage,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-pnp-resolver,1.2.3,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,resolve.exports,2.0.3,library,Luke Edwards,MIT
bcrypt,6.0.0,Nick Campbell,MIT,resolve,1.22.10,library,James Halliday,MIT
bcrypt,6.0.0,Nick Campbell,MIT,environment,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,emittery,0.13.1,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-docblock,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-leak-detector,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,source-map-support,0.5.13,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,fake-timers,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,globals,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,source-map,29.6.3,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,cjs-module-lexer,1.4.3,library,Guy Bedford,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-mock,29.7.0,library,NA,MIT
