Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
axios,4.0.1,Kamil Mysliwiec,MIT,follow-redirects,1.15.6,library,Ruben Verborgh,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,form-data,4.0.4,library,Felix Geisendörfer,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,proxy-from-env,1.1.0,library,Rob Wu,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,prettier-linter-helpers,1.0.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,synckit,0.11.8,library,JounQin,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,eslint-utils,4.8.0,library,Toru Nagashima,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,regexpp,4.12.1,library,Toru Nagashima,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,config-array,0.21.0,library,Nicholas C. Zakas,Apache-2.0
axios,4.0.1,Kamil Mysliwiec,MIT,config-helpers,0.3.1,library,NA,Apache-2.0
axios,4.0.1,Kamil Mysliwiec,MIT,core,0.15.2,library,Nicholas C. Zakas,Apache-2.0
axios,4.0.1,Kamil Mysliwiec,MIT,plugin-kit,0.3.5,library,Nicholas C. Zakas,Apache-2.0
axios,4.0.1,Kamil Mysliwiec,MIT,node,0.16.6,library,Nicholas C. Zakas,Apache-2.0
axios,4.0.1,Kamil Mysliwiec,MIT,module-importer,1.0.1,library,Nicholas C. Zaks,Apache-2.0
axios,4.0.1,Kamil Mysliwiec,MIT,estree,1.0.6,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,json-schema,7.0.15,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,chalk,4.1.2,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,cross-spawn,7.0.6,library,André Cruz,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,escape-string-regexp,4.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,eslint-scope,8.4.0,library,NA,BSD-2-Clause
axios,4.0.1,Kamil Mysliwiec,MIT,esquery,1.6.0,library,Joel Feenstra,BSD-3-Clause
axios,4.0.1,Kamil Mysliwiec,MIT,esutils,2.0.2,library,NA,BSD
axios,4.0.1,Kamil Mysliwiec,MIT,fast-deep-equal,3.1.3,library,Evgeny Poberezkin,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,file-entry-cache,8.0.0,library,Jared Wray,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,imurmurhash,0.1.4,library,Jens Taylor,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,is-glob,4.0.3,library,Jon Schlinkert,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,jiti,2.4.2,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,json-stable-stringify-without-jsonify,1.0.1,library,James Halliday,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,lodash.merge,4.6.2,library,John-David Dalton,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,natural-compare,1.4.0,library,Lauri Rooden,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,optionator,0.9.3,library,George Zahariev,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,core,30.1.3,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,types,30.0.5,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,import-local,3.2.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,jest-cli,30.1.3,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,commander,14.0.0,library,TJ Holowaychuk,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,lilconfig,3.1.3,library,antonk52,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,listr2,9.0.3,library,Cenk Kilic,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,wrap-ansi,9.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,ansi-styles,6.2.1,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,string-width,7.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,strip-ansi,7.1.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,emoji-regex,10.3.0,library,Mathias Bynens,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,micromatch,4.0.8,library,Jon Schlinkert,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,nano-spawn,1.0.2,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,pidtree,0.6.0,library,Simone Primarosa,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,string-argv,0.3.2,library,Anthony McCormick,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,yaml,2.8.1,library,Eemeli Aro,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,defaults-deep,1.1.0,library,Drew Llewellyn,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,rest,21.1.1,library,Gregor Martynus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,plugin-request-log,5.3.1,library,Gregor Martynus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,typeof,1.2.8,library,Alexander Vassbotn Røyne-Helgesen,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,async-retry,1.3.3,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,c12,3.1.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,ci-info,4.3.0,library,Thomas Watson Steen,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,eta,3.5.0,library,Ben Gubler,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,git-url-parse,16.1.0,library,Ionică Bizău,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,inquirer,12.7.0,library,Simon Boudrias,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,issue-parser,7.0.1,library,Pierre Vanduynslager,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,new-github-release-url,2.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,type-fest,2.19.0,library,Sindre Sorhus,NA
axios,4.0.1,Kamil Mysliwiec,MIT,open,10.2.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,ora,8.2.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,chalk,5.3.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,cli-cursor,5.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,is-unicode-supported,2.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,string-width,7.2.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,strip-ansi,7.1.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,restore-cursor,5.1.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,emoji-regex,10.4.0,library,Mathias Bynens,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,onetime,7.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,signal-exit,4.1.0,library,Ben Coe,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,os-name,6.1.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,proxy-agent,6.5.0,library,Nathan Rajlich,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,lru-cache,7.18.3,library,Isaac Z. Schlueter,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,semver,7.7.2,library,GitHub Inc.,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,tinyglobby,0.2.14,library,Superchupu,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,fdir,6.4.4,library,thecodrr,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,picomatch,4.0.2,library,Jon Schlinkert,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,undici,6.21.3,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,url-join,5.0.0,library,José F. Romaniello,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,wildcard-match,5.1.4,library,Alex Schneider,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,yargs-parser,21.1.1,library,Ben Coe,ISC
