Library,Current Version,Latest Version,Status
loglevel,1.9.1,1.9.2,Update available (1.9.2)
browsers,1.9.1,1.0.2,Current version is newer than npm (1.0.2)
tar-fs,3.0.4,3.1.0,Update available (3.1.0)
edgedriver,5.6.0,6.1.2,Update available (6.1.2)
locate-app,2.4.21,2.5.0,Update available (2.5.0)
type-fest,2.13.0,4.41.0,Update available (4.41.0)
safaridriver,0.1.2,1.0.0,Update available (1.0.0)
jake,10.9.1,10.9.4,Update available (10.9.4)
cross-spawn,7.0.3,7.0.6,Update available (7.0.6)
human-signals,5.0.0,8.0.1,Update available (8.0.1)
through,2.3.13,2.3.8,Current version is newer than npm (2.3.8)
cli-width,4.1.0,4.1.0,Up-to-date
external-editor,3.1.0,3.1.0,Up-to-date
figures,5.0.0,6.1.0,Update available (6.1.0)
escape-string-regexp,5.0.0,5.0.0,Up-to-date
mute-stream,1.0.0,2.0.0,Update available (2.0.0)
run-async,3.0.0,4.0.6,Update available (4.0.6)
rxjs,7.8.1,7.8.2,Update available (7.8.2)
archiver,7.0.1,7.0.1,Up-to-date
buffer-crc32,1.0.0,1.0.0,Up-to-date
readable-stream,4.5.2,4.7.0,Update available (4.7.0)
buffer,6.0.3,6.0.3,Up-to-date
aria-query,5.3.0,5.3.2,Update available (5.3.2)
css-shorthand-properties,1.1.1,1.1.2,Update available (1.1.2)
css-value,0.0.1,0.0.1,Up-to-date
devtools-protocol,0.0.1302984,0.0.1512837,Update available (0.0.1512837)
devtools,8.39.1,8.42.0,Update available (8.42.0)
puppeteer-core,20.3.0,24.19.0,Update available (24.19.0)
uuid,9.0.1,13.0.0,Update available (13.0.0)
browsers,1.3.0,1.0.2,Current version is newer than npm (1.0.2)
chromium-bidi,0.4.9,8.1.0,Update available (8.1.0)
cross-fetch,3.1.6,4.1.0,Update available (4.1.0)
devtools-protocol,0.0.1120988,0.0.1512837,Update available (0.0.1512837)
http-proxy-agent,5.0.0,7.0.2,Update available (7.0.2)
https-proxy-agent,5.0.1,7.0.6,Update available (7.0.6)
yargs,17.7.1,18.0.0,Update available (18.0.0)
agent-base,6.0.2,7.1.4,Update available (7.1.4)
grapheme-splitter,1.0.4,1.0.4,Up-to-date
jszip,3.10.1,3.10.1,Up-to-date
lodash.zip,4.2.0,4.2.0,Up-to-date
puppeteer-core,20.9.0,24.19.0,Update available (24.19.0)
browsers,1.4.6,1.0.2,Current version is newer than npm (1.0.2)
devtools-protocol,0.0.1147663,0.0.1512837,Update available (0.0.1512837)
proxy-agent,6.3.0,6.5.0,Update available (6.5.0)
lru-cache,7.18.3,11.2.1,Update available (11.2.1)
query-selector-shadow-dom,1.0.1,1.0.1,Up-to-date
resq,1.11.0,1.11.0,Up-to-date
fast-deep-equal,2.0.1,3.1.3,Update available (3.1.3)
rgb2hex,0.2.5,0.2.5,Up-to-date
serialize-error,11.0.3,12.0.0,Update available (12.0.0)
webdriver,8.39.0,9.19.2,Update available (9.19.2)
got,12.6.1,14.4.8,Update available (14.4.8)
is,5.6.0,3.3.2,Current version is newer than npm (3.3.2)
http-timer,5.0.1,,Not Found
cacheable-lookup,7.0.0,7.0.0,Up-to-date
cacheable-request,10.2.14,13.0.9,Update available (13.0.9)
http2-wrapper,2.2.1,2.2.1,Up-to-date
lowercase-keys,3.0.0,3.0.0,Up-to-date
p-cancelable,3.0.0,4.0.1,Update available (4.0.1)
responselike,3.0.0,3.0.0,Up-to-date
mimic-response,4.0.0,4.0.0,Up-to-date
normalize-url,8.0.1,8.0.2,Update available (8.0.2)
escalade,3.1.2,3.2.0,Update available (3.2.0)
gaze,1.1.3,1.1.3,Up-to-date
change-case,4.1.2,5.4.4,Update available (5.4.4)
compressing,1.10.1,2.0.0,Update available (2.0.0)
iconv-lite,0.5.2,0.7.0,Update available (0.7.0)
got,11.8.6,14.4.8,Update available (14.4.8)
query-string,7.1.3,9.3.0,Update available (9.3.0)
tunnel,0.0.6,0.0.6,Up-to-date
object-inspect,1.13.2,1.13.4,Update available (1.13.4)
ast,1.12.1,1.0.7,Current version is newer than npm (1.0.7)
wasm-edit,1.12.1,,Not Found
wasm-parser,1.12.1,,Not Found
acorn-import-attributes,1.9.5,1.9.5,Up-to-date
es-module-lexer,1.5.4,1.7.0,Update available (1.7.0)
terser-webpack-plugin,5.3.10,5.3.14,Update available (5.3.14)
watchpack,2.4.1,2.4.4,Update available (2.4.4)
webpack-sources,3.2.3,3.3.3,Update available (3.3.3)
after,0.8.2,0.8.2,Up-to-date
arraybuffer.slice,0.0.7,0.0.7,Up-to-date
random-bytes,1.0.0,1.0.0,Up-to-date
side-channel,1.0.6,1.1.0,Update available (1.1.0)
generic-pool,3.9.0,3.9.0,Up-to-date
jackspeak,4.0.1,4.1.1,Update available (4.1.1)
path-scurry,2.0.0,2.0.0,Up-to-date
lru-cache,11.0.0,11.2.1,Update available (11.2.1)
source-map,0.3.6,0.7.6,Update available (0.7.6)
asynckit,0.4.0,0.4.0,Up-to-date
combined-stream,1.0.8,1.0.8,Up-to-date
dezalgo,1.0.4,1.0.4,Up-to-date
hexoid,1.0.0,2.0.0,Update available (2.0.0)
fast-glob,3.3.2,3.3.3,Update available (3.3.3)
ignore,5.3.1,7.0.5,Update available (7.0.5)
yargs-parser,20.2.4,22.0.0,Update available (22.0.0)
jsonfile,6.1.0,6.2.0,Update available (6.2.0)
zip.js,2.7.45,,Not Found
http-proxy-agent,7.0.2,7.0.2,Up-to-date
https-proxy-agent,7.0.5,7.0.6,Update available (7.0.6)
node-fetch,3.3.2,3.3.2,Up-to-date
chalk,2.4.2,5.6.2,Update available (5.6.2)
supports-color,5.5.0,10.2.2,Update available (10.2.2)
has-flag,3.0.0,5.0.1,Update available (5.0.1)
caniuse-lite,1.0.30001640,1.0.30001741,Update available (1.0.30001741)
electron-to-chromium,1.4.818,1.5.215,Update available (1.5.215)
node-releases,2.0.14,2.0.20,Update available (2.0.20)
update-browserslist-db,1.1.0,1.1.3,Update available (1.1.3)
regexpu-core,5.3.2,6.3.0,Update available (6.3.0)
helper-wrap-function,7.24.7,,Not Found
helper-member-expression-to-functions,7.24.7,0.0.1-security,Current version is newer than npm (0.0.1-security)
helper-optimise-call-expression,7.24.7,,Not Found
runtime,7.24.7,0.14.1,Current version is newer than npm (0.14.1)
regenerator-runtime,0.14.1,0.14.1,Up-to-date
isobject,3.0.1,4.0.0,Update available (4.0.0)
follow-redirects,1.15.9,1.15.11,Update available (1.15.11)
proxy-from-env,1.1.0,1.1.0,Up-to-date
are-we-there-yet,3.0.1,4.0.2,Update available (4.0.2)
console-control-strings,1.1.0,1.1.0,Up-to-date
gauge,4.0.4,5.0.2,Update available (5.0.2)
decompress-response,6.0.0,9.0.0,Update available (9.0.0)
mimic-response,3.1.0,4.0.0,Update available (4.0.0)
simple-concat,1.0.1,1.0.1,Up-to-date
ansi-styles,6.2.1,6.2.3,Update available (6.2.3)
extract-zip,2.0.1,2.0.1,Up-to-date
progress,2.0.3,2.0.3,Up-to-date
proxy-agent,6.3.1,6.5.0,Update available (6.5.0)
edge-paths,3.0.5,3.0.5,Up-to-date
utils,0.58.0,0.3.1,Current version is newer than npm (0.3.1)
userhome,1.0.0,1.0.1,Update available (1.0.1)
async,3.2.5,3.2.6,Update available (3.2.6)
filelist,1.0.4,1.0.4,Up-to-date
call-bind,1.0.7,1.0.8,Update available (1.0.8)
chardet,0.7.0,2.1.0,Update available (2.1.0)
tslib,2.6.3,2.8.1,Update available (2.8.1)
archiver-utils,5.0.2,5.0.2,Up-to-date
readdir-glob,1.1.3,2.0.1,Update available (2.0.1)
zip-stream,6.0.1,7.0.2,Update available (7.0.2)
chrome-launcher,1.1.2,1.2.0,Update available (1.2.0)
ua-parser-js,1.0.38,2.0.5,Update available (2.0.5)
lie,3.3.0,3.3.0,Up-to-date
pako,1.0.11,2.1.0,Update available (2.1.0)
setimmediate,1.0.5,1.0.5,Up-to-date
chromium-bidi,0.4.16,8.1.0,Update available (8.1.0)
cross-fetch,4.0.0,4.1.0,Update available (4.1.0)
ws,8.5.10,8.18.3,Update available (8.18.3)
ky,0.33.3,1.10.0,Update available (1.10.0)
globule,1.3.4,1.3.4,Up-to-date
glob,7.1.7,11.0.3,Update available (11.0.3)
minimatch,3.0.8,10.0.3,Update available (10.0.3)
camel-case,4.1.2,5.0.0,Update available (5.0.0)
capital-case,1.0.4,2.0.0,Update available (2.0.0)
constant-case,3.0.4,4.0.0,Update available (4.0.0)
dot-case,3.0.4,4.0.0,Update available (4.0.0)
header-case,2.0.4,3.0.0,Update available (3.0.0)
no-case,3.0.4,4.0.0,Update available (4.0.0)
param-case,3.0.4,4.0.0,Update available (4.0.0)
pascal-case,3.1.2,4.0.0,Update available (4.0.0)
path-case,3.0.4,4.0.0,Update available (4.0.0)
sentence-case,3.0.4,4.0.0,Update available (4.0.0)
snake-case,3.0.4,4.0.0,Update available (4.0.0)
yauzl,2.11.0,3.2.0,Update available (3.2.0)
flushwritable,1.0.0,1.0.0,Up-to-date
get-ready,1.0.0,3.4.0,Update available (3.4.0)
mkdirp,0.5.6,3.0.1,Update available (3.0.1)
streamifier,0.1.1,0.1.1,Up-to-date
yazl,2.5.1,3.3.1,Update available (3.3.1)
is,4.6.0,3.3.2,Current version is newer than npm (3.3.2)
http-timer,4.0.6,,Not Found
cacheable-request,6.0.3,13.0.9,Update available (13.0.9)
responselike,1.0.3,3.0.0,Update available (3.0.0)
cacheable-lookup,5.0.4,7.0.0,Update available (7.0.0)
cacheable-request,7.0.4,13.0.9,Update available (13.0.9)
http2-wrapper,1.0.3,2.2.1,Update available (2.2.1)
p-cancelable,2.1.1,4.0.1,Update available (4.0.1)
responselike,2.0.1,3.0.0,Update available (3.0.0)
decode-uri-component,0.2.2,0.4.1,Update available (0.4.1)
filter-obj,1.1.0,6.1.0,Update available (6.1.0)
split-on-first,1.1.0,4.0.0,Update available (4.0.0)
strict-uri-encode,2.0.0,2.0.0,Up-to-date
helper-numbers,1.11.6,,Not Found
helper-wasm-bytecode,1.11.6,,Not Found
helper-buffer,1.12.1,,Not Found
helper-wasm-section,1.12.1,,Not Found
wasm-gen,1.12.1,,Not Found
wasm-opt,1.12.1,1.4.0,Current version is newer than npm (1.4.0)
wast-printer,1.12.1,,Not Found
helper-api-error,1.11.6,,Not Found
ieee754,1.11.6,1.2.1,Current version is newer than npm (1.2.1)
leb128,1.11.6,0.0.5,Current version is newer than npm (0.0.5)
utf8,1.11.6,3.0.0,Update available (3.0.0)
get-intrinsic,1.2.4,1.3.0,Update available (1.3.0)
delayed-stream,1.0.0,1.0.0,Up-to-date
agent-base,7.1.1,7.1.4,Update available (7.1.4)
data-uri-to-buffer,4.0.1,6.0.2,Update available (6.0.2)
fetch-blob,3.2.0,4.0.0,Update available (4.0.0)
formdata-polyfill,4.0.10,4.0.10,Up-to-date
bare-fs,2.3.1,4.3.2,Update available (4.3.2)
bare-path,2.1.3,3.0.0,Update available (3.0.0)
ansi-styles,3.2.1,6.2.3,Update available (6.2.3)
regenerate-unicode-properties,10.1.1,10.2.2,Update available (10.2.2)
regjsparser,0.9.1,0.12.0,Update available (0.12.0)
unicode-match-property-value-ecmascript,2.1.0,2.2.1,Update available (2.2.1)
delegates,1.0.0,1.0.0,Up-to-date
aproba,2.0.0,2.1.0,Update available (2.1.0)
color-support,1.1.3,1.1.3,Up-to-date
has-unicode,2.0.1,2.0.1,Up-to-date
wide-align,1.1.5,1.1.5,Up-to-date
yauzl,2.10.3,3.2.0,Update available (3.2.0)
pac-proxy-agent,7.0.2,7.2.0,Update available (7.2.0)
socks-proxy-agent,8.0.4,8.0.5,Update available (8.0.5)
buffer,5.2.1,6.0.3,Update available (6.0.3)
spacetrim,0.11.36,0.11.60,Update available (0.11.60)
es-define-property,1.0.0,1.0.1,Update available (1.0.1)
lazystream,1.0.1,1.0.1,Up-to-date
abort-controller,3.0.0,3.0.0,Up-to-date
process,0.11.10,0.11.10,Up-to-date
b4a,1.6.6,1.6.7,Update available (1.6.7)
streamx,2.18.0,2.22.1,Update available (2.22.1)
compress-commons,6.0.2,7.0.0,Update available (7.0.0)
lighthouse-logger,2.0.1,2.0.2,Update available (2.0.2)
immediate,3.0.6,3.3.0,Update available (3.3.0)
mitt,3.0.0,3.0.1,Update available (3.0.1)
form-data-encoder,2.1.4,4.1.0,Update available (4.1.0)
upper-case-first,2.0.2,3.0.0,Update available (3.0.0)
upper-case,2.0.2,3.0.0,Update available (3.0.0)
lower-case,2.0.2,3.0.0,Update available (3.0.0)
fd-slicer2,1.2.0,1.2.0,Up-to-date
to-buffer,1.1.1,1.2.1,Update available (1.2.1)
defer-to-connect,2.0.1,2.0.1,Up-to-date
http-cache-semantics,4.0.4,4.2.0,Update available (4.2.0)
keyv,3.1.4,5.5.0,Update available (5.5.0)
http-cache-semantics,4.1.1,4.2.0,Update available (4.2.0)
normalize-url,6.1.0,8.0.2,Update available (8.0.2)
quick-lru,5.1.1,7.1.0,Update available (7.1.0)
resolve-alpn,1.2.1,1.2.1,Up-to-date
floating-point-hex-parser,1.11.6,,Not Found
has-proto,1.0.3,1.2.0,Update available (1.2.0)
has-symbols,1.0.3,1.1.0,Update available (1.1.0)
fastq,1.17.1,1.19.1,Update available (1.19.1)
node-domexception,1.0.0,2.0.2,Update available (2.0.2)
web-streams-polyfill,3.3.3,4.2.0,Update available (4.2.0)
bare-events,2.4.2,2.6.1,Update available (2.6.1)
bare-stream,2.1.3,2.7.0,Update available (2.7.0)
bare-os,2.4.0,3.6.2,Update available (3.6.2)
color-convert,1.9.3,3.1.0,Update available (3.1.0)
unicode-canonical-property-names-ecmascript,2.0.0,2.0.1,Update available (2.0.1)
quickjs-emscripten,0.23.0,0.31.0,Update available (0.31.0)
get-uri,6.0.3,6.0.5,Update available (6.0.5)
data-uri-to-buffer,6.0.2,6.0.2,Up-to-date
pac-resolver,7.0.1,7.0.1,Up-to-date
socks,2.8.3,2.8.7,Update available (2.8.7)
gopd,1.0.1,1.2.0,Update available (1.2.0)
event-target-shim,5.0.1,6.0.2,Update available (6.0.2)
queue-tick,1.0.1,1.0.1,Up-to-date
text-decoder,1.1.1,1.2.3,Update available (1.2.3)
crc-32,1.2.2,1.2.2,Up-to-date
crc32-stream,6.0.0,7.0.1,Update available (7.0.1)
marky,1.2.5,1.3.0,Update available (1.3.0)
reusify,1.0.4,1.1.0,Update available (1.1.0)
spdx-license-ids,3.0.18,3.0.22,Update available (3.0.22)
color-name,1.1.3,2.0.0,Update available (2.0.0)
yargs,17.0.32,18.0.0,Update available (18.0.0)
basic-ftp,5.0.5,5.0.5,Up-to-date
degenerator,5.0.1,5.0.1,Up-to-date
escodegen,2.1.0,2.1.0,Up-to-date
netmask,2.0.2,2.0.2,Up-to-date
ip-address,9.0.5,10.0.1,Update available (10.0.1)
jsbn,1.1.0,1.1.0,Up-to-date
sprintf-js,1.1.3,1.1.3,Up-to-date
smart-buffer,4.2.0,4.2.0,Up-to-date
once,2.0.0,1.4.0,Current version is newer than npm (1.4.0)
ast-types,0.13.4,0.14.2,Update available (0.14.2)
node,18.11.3,20.19.5,Update available (20.19.5)
decache,4.6.2,4.6.2,Up-to-date
sinon,14.0.1,21.0.0,Update available (21.0.0)
standard-version,9.5.0,9.5.0,Up-to-date
standard,17.0.0,17.1.2,Update available (17.1.2)
tap,19.2.5,21.1.0,Update available (21.1.0)
typescript,4.8.4,5.9.2,Update available (5.9.2)
callsite,1.0.0,1.0.0,Up-to-date
commons,1.8.3,0.0.1-pre,Current version is newer than npm (0.0.1-pre)
fake-timers,9.1.2,0.1.2,Current version is newer than npm (0.1.2)
samsam,6.1.1,1.3.0,Current version is newer than npm (1.3.0)
nise,5.1.1,6.1.1,Update available (6.1.1)
conventional-changelog-config-spec,2.1.0,2.1.0,Up-to-date
conventional-changelog-conventionalcommits,4.6.3,9.1.0,Update available (9.1.0)
conventional-changelog,3.1.25,7.1.1,Update available (7.1.1)
conventional-recommended-bump,6.1.0,11.2.0,Update available (11.2.0)
detect-indent,6.1.0,7.0.1,Update available (7.0.1)
dotgitignore,2.1.0,2.1.0,Up-to-date
git-semver-tags,4.1.1,8.0.0,Update available (8.0.0)
stringify-package,1.0.1,1.0.1,Up-to-date
eslint-config-standard-jsx,11.0.0,11.0.0,Up-to-date
eslint-config-standard,17.0.0,17.1.0,Update available (17.1.0)
eslint-plugin-import,2.26.0,2.32.0,Update available (2.32.0)
eslint-plugin-n,15.3.0,17.21.3,Update available (17.21.3)
eslint-plugin-promise,6.1.1,7.2.1,Update available (7.2.1)
eslint-plugin-react,7.31.10,7.37.5,Update available (7.37.5)
resolve,2.0.0-next.4,1.22.10,Current version is newer than npm (1.22.10)
eslint,8.25.0,9.35.0,Update available (9.35.0)
eslint-scope,7.1.1,8.4.0,Update available (8.4.0)
standard-engine,15.0.0,15.1.0,Update available (15.1.0)
after-each,2.0.8,,Not Found
after,1.1.31,0.8.2,Current version is newer than npm (0.8.2)
asserts,2.0.8,4.0.2,Update available (4.0.2)
before-each,2.0.8,,Not Found
before,2.0.8,0.0.1,Current version is newer than npm (0.0.1)
chdir,1.1.4,0.0.0,Current version is newer than npm (0.0.0)
core,2.1.6,1.0.113,Current version is newer than npm (1.0.113)
filter,2.0.8,0.1.1,Current version is newer than npm (0.1.1)
fixture,2.0.8,0.1.2,Current version is newer than npm (0.1.2)
rimraf,5.0.10,6.0.1,Update available (6.0.1)
intercept,2.0.8,0.3.0,Current version is newer than npm (0.3.0)
mock,2.1.6,0.1.1,Current version is newer than npm (0.1.1)
node-serialize,2.0.8,0.0.4,Current version is newer than npm (0.0.4)
run,2.1.7,1.5.0,Current version is newer than npm (1.5.0)
snapshot,2.0.8,0.0.0,Current version is newer than npm (0.0.0)
spawn,2.0.8,0.0.1,Current version is newer than npm (0.0.1)
stdin,2.0.8,0.0.1,Current version is newer than npm (0.0.1)
test,2.2.4,3.3.0,Update available (3.3.0)
typescript,1.4.13,5.9.2,Update available (5.9.2)
worker,2.0.8,0.4.0,Current version is newer than npm (0.4.0)
resolve-import,1.4.6,2.0.0,Update available (2.0.0)
lodash.get,4.4.2,4.4.2,Up-to-date
text-encoding,0.7.2,0.7.0,Current version is newer than npm (0.7.0)
just-extend,4.2.1,6.2.0,Update available (6.2.0)
path-to-regexp,1.9.0,8.3.0,Update available (8.3.0)
compare-func,2.0.0,2.0.0,Up-to-date
conventional-changelog-angular,5.0.13,8.0.0,Update available (8.0.0)
conventional-changelog-atom,2.0.8,5.0.0,Update available (5.0.0)
conventional-changelog-codemirror,2.0.8,5.0.0,Update available (5.0.0)
conventional-changelog-core,4.2.4,9.0.0,Update available (9.0.0)
conventional-changelog-ember,2.0.9,5.0.0,Update available (5.0.0)
conventional-changelog-eslint,3.0.9,6.0.0,Update available (6.0.0)
conventional-changelog-express,2.0.6,5.0.0,Update available (5.0.0)
conventional-changelog-jquery,3.0.11,6.0.0,Update available (6.0.0)
conventional-changelog-jshint,2.0.9,5.0.0,Update available (5.0.0)
conventional-changelog-preset-loader,2.3.4,5.0.0,Update available (5.0.0)
concat-stream,2.0.0,2.0.0,Up-to-date
conventional-commits-filter,2.0.7,5.0.0,Update available (5.0.0)
conventional-commits-parser,3.2.4,6.2.0,Update available (6.2.0)
git-raw-commits,2.0.11,5.0.0,Update available (5.0.0)
meow,8.1.2,13.2.0,Update available (13.2.0)
escalade,3.1.1,3.2.0,Update available (3.2.0)
array-includes,3.1.5,3.1.9,Update available (3.1.9)
array.prototype.flat,1.3.0,1.3.3,Update available (1.3.3)
eslint-import-resolver-node,0.3.6,0.3.9,Update available (0.3.9)
eslint-module-utils,2.7.4,2.12.1,Update available (2.12.1)
has,1.0.3,1.0.4,Update available (1.0.4)
is-core-module,2.11.0,2.16.1,Update available (2.16.1)
object.values,1.1.5,1.2.1,Update available (1.2.1)
resolve,1.22.1,1.22.10,Update available (1.22.10)
tsconfig-paths,3.14.1,4.2.0,Update available (4.2.0)
builtins,5.0.1,5.1.0,Update available (5.1.0)
eslint-plugin-es,4.1.0,4.1.0,Up-to-date
eslint-utils,2.1.0,3.0.0,Update available (3.0.0)
eslint-visitor-keys,1.3.0,4.2.1,Update available (4.2.1)
ignore,5.2.0,7.0.5,Update available (7.0.5)
array.prototype.flatmap,1.3.0,1.3.3,Update available (1.3.3)
jsx-ast-utils,3.3.3,3.3.5,Update available (3.3.5)
object.entries,1.1.5,1.1.9,Update available (1.1.9)
object.fromentries,2.0.5,2.0.8,Update available (2.0.8)
object.hasown,1.1.1,1.1.4,Update available (1.1.4)
prop-types,15.8.1,15.8.1,Up-to-date
string.prototype.matchall,4.0.7,4.0.12,Update available (4.0.12)
eslintrc,1.3.3,1.0.6,Current version is newer than npm (1.0.6)
config-array,0.10.7,,Not Found
eslint-visitor-keys,3.3.0,4.2.1,Update available (4.2.1)
espree,9.4.0,10.4.0,Update available (10.4.0)
esquery,1.4.0,1.6.0,Update available (1.6.0)
globals,13.17.0,16.4.0,Update available (16.4.0)
import-fresh,3.3.0,3.3.1,Update available (3.3.1)
js-sdsl,4.1.5,4.4.2,Update available (4.4.2)
optionator,0.9.1,0.9.4,Update available (0.9.4)
regexpp,3.2.0,3.2.0,Up-to-date
get-stdin,8.0.0,9.0.0,Update available (9.0.0)
minimist,1.2.7,1.2.8,Update available (1.2.8)
function-loop,4.0.0,4.0.0,Up-to-date
is-actual-promise,1.0.2,1.0.2,Up-to-date
stack,2.0.1,0.1.0,Current version is newer than npm (0.1.0)
tcompare,7.0.1,9.0.0,Update available (9.0.0)
trivial-deferred,2.0.0,2.0.0,Up-to-date
processinfo,3.1.8,0.0.6,Current version is newer than npm (0.0.6)
async-hook-domain,4.0.1,4.0.1,Up-to-date
tap-parser,16.0.1,18.0.0,Update available (18.0.0)
tap-yaml,2.2.2,4.0.0,Update available (4.0.0)
walk-up-path,3.0.1,4.0.0,Update available (4.0.0)
error-serdes,2.0.1,,Not Found
config,3.1.6,4.1.1,Update available (4.1.1)
reporter,2.0.8,0.1.0,Current version is newer than npm (0.1.0)
c8,9.1.0,10.1.3,Update available (10.1.3)
foreground-child,3.3.0,3.3.1,Update available (3.3.1)
opener,1.5.2,1.5.2,Up-to-date
pacote,17.0.7,21.0.1,Update available (21.0.1)
fs-minipass,3.0.3,3.0.3,Up-to-date
npm-package-arg,11.0.3,13.0.0,Update available (13.0.0)
ssri,10.0.6,12.0.0,Update available (12.0.0)
validate-npm-package-name,5.0.1,6.0.2,Update available (6.0.2)
ts-node-temp-fork-for-pr-2009,10.9.7,,Not Found
sync-content,1.0.2,2.0.1,Update available (2.0.1)
tshy,1.18.0,3.0.2,Update available (3.0.2)
polite-json,5.0.0,5.0.0,Up-to-date
typescript,5.7.2,5.9.2,Update available (5.9.2)
array-ify,1.0.0,1.0.0,Up-to-date
add-stream,1.0.0,1.0.0,Up-to-date
conventional-changelog-writer,5.0.1,8.2.0,Update available (8.2.0)
dateformat,3.0.3,5.0.3,Update available (5.0.3)
get-pkg-repo,4.2.1,5.0.0,Update available (5.0.0)
through2,2.0.5,4.0.2,Update available (4.0.2)
readable-stream,2.3.7,4.7.0,Update available (4.7.0)
git-remote-origin-url,2.0.0,4.0.0,Update available (4.0.0)
read-pkg-up,3.0.0,11.0.0,Update available (11.0.0)
find-up,2.1.0,7.0.0,Update available (7.0.0)
locate-path,2.0.0,7.2.0,Update available (7.2.0)
p-locate,2.0.0,6.0.0,Update available (6.0.0)
p-limit,1.3.0,7.1.1,Update available (7.1.1)
p-try,1.0.0,3.0.0,Update available (3.0.0)
read-pkg,3.0.0,9.0.1,Update available (9.0.1)
load-json-file,4.0.0,7.0.1,Update available (7.0.1)
path-type,3.0.0,6.0.0,Update available (6.0.0)
through2,4.0.2,4.0.2,Up-to-date
readable-stream,3.6.0,4.7.0,Update available (4.7.0)
lodash.ismatch,4.4.0,4.4.0,Up-to-date
modify-values,1.0.1,2.1.1,Update available (2.1.1)
is-text-path,1.0.1,3.0.0,Update available (3.0.0)
JSONStream,1.3.5,1.3.5,Up-to-date
split2,3.2.2,4.2.0,Update available (4.2.0)
dargs,7.0.0,8.1.0,Update available (8.1.0)
minimist,1.2.2,1.2.8,Update available (1.2.8)
decamelize-keys,1.1.0,2.0.1,Update available (2.0.1)
call-bind,1.0.2,1.0.8,Update available (1.0.8)
define-properties,1.1.4,1.2.1,Update available (1.2.1)
es-abstract,1.20.4,1.24.0,Update available (1.24.0)
get-intrinsic,1.1.3,1.3.0,Update available (1.3.0)
is-string,1.0.7,1.1.1,Update available (1.1.1)
es-shim-unscopables,1.0.0,1.1.0,Update available (1.1.0)
function-bind,1.1.1,1.1.2,Update available (1.1.2)
object.assign,4.1.4,4.1.7,Update available (4.1.7)
loose-envify,1.4.0,1.4.0,Up-to-date
react-is,16.13.1,19.1.1,Update available (19.1.1)
internal-slot,1.0.3,1.1.0,Update available (1.1.0)
regexp.prototype.flags,1.4.3,1.5.4,Update available (1.5.4)
side-channel,1.0.4,1.1.0,Update available (1.1.0)
object-schema,1.2.1,0.1.19,Current version is newer than npm (0.1.19)
acorn,8.14.0,8.15.0,Update available (8.15.0)
flat-cache,3.0.4,6.1.13,Update available (6.1.13)
fast-glob,3.2.12,3.3.3,Update available (3.3.3)
react-element-to-jsx-string,15.0.0,17.0.1,Update available (17.0.1)
react-is,18.1.0,19.1.1,Update available (19.1.1)
events-to-array,2.0.3,2.0.3,Up-to-date
yaml-types,0.3.0,0.4.0,Update available (0.4.0)
yaml,2.6.1,2.8.1,Update available (2.8.1)
polite-json,4.0.1,5.0.0,Update available (5.0.0)
ink,4.4.1,6.3.0,Update available (6.3.0)
indent-string,5.0.0,5.0.0,Up-to-date
slice-ansi,6.0.0,7.1.2,Update available (7.1.2)
type-fest,0.12.0,4.41.0,Update available (4.41.0)
ansi-regex,6.1.0,6.2.2,Update available (6.2.2)
patch-console,2.0.0,2.0.0,Up-to-date
prismjs-terminal,1.2.3,1.2.3,Up-to-date
react,18.3.1,19.1.1,Update available (19.1.1)
string-length,6.0.0,6.0.0,Up-to-date
git,5.0.8,0.1.5,Current version is newer than npm (0.1.5)
ini,4.1.3,5.0.0,Update available (5.0.0)
installed-package-contents,2.1.0,,Not Found
promise-spawn,7.0.2,0.0.1,Current version is newer than npm (0.0.1)
run-script,7.0.4,0.1.1,Current version is newer than npm (0.1.1)
cacache,18.0.4,20.0.1,Update available (20.0.1)
npm-packlist,8.0.2,10.0.1,Update available (10.0.1)
npm-pick-manifest,9.1.0,10.0.0,Update available (10.0.0)
npm-registry-fetch,16.2.1,19.0.0,Update available (19.0.0)
proc-log,4.2.0,5.0.0,Update available (5.0.0)
promise-retry,2.0.1,2.0.1,Up-to-date
read-package-json-fast,3.0.2,4.0.0,Update available (4.0.0)
read-package-json,7.0.1,7.0.1,Up-to-date
sigstore,2.3.1,4.0.0,Update available (4.0.0)
node14,14.1.2,,Not Found
node16,16.1.3,,Not Found
node18,18.2.4,1.0.0,Current version is newer than npm (1.0.0)
node20,20.1.4,,Not Found
handlebars,4.7.7,4.7.8,Update available (4.7.8)
json-stringify-safe,5.0.1,5.0.1,Up-to-date
split,1.0.1,1.0.1,Up-to-date
parse-repository-url,3.0.2,,Not Found
gitconfiglocal,1.0.0,2.1.0,Update available (2.1.0)
text-extensions,1.9.0,3.1.0,Update available (3.1.0)
jsonparse,1.3.1,1.3.1,Up-to-date
has-property-descriptors,1.0.0,1.0.2,Update available (1.0.2)
es-to-primitive,1.2.1,1.3.0,Update available (1.3.0)
function.prototype.name,1.1.5,1.1.8,Update available (1.1.8)
get-symbol-description,1.0.0,1.1.0,Update available (1.1.0)
is-negative-zero,2.0.2,2.0.3,Update available (2.0.3)
is-regex,1.1.4,1.2.1,Update available (1.2.1)
is-shared-array-buffer,1.0.2,1.0.4,Update available (1.0.4)
