Library,Current Version,Latest Version,Status
globals,13.24.0,16.4.0,Update available (16.4.0)
imurmurhash,0.1.4,0.1.4,Up-to-date
is-glob,4.0.3,4.0.3,Up-to-date
is-path-inside,3.0.3,4.0.0,Update available (4.0.0)
js-yaml,4.1.0,4.1.0,Up-to-date
json-stable-stringify-without-jsonify,1.0.1,1.0.1,Up-to-date
levn,0.4.1,0.4.1,Up-to-date
lodash.merge,4.6.2,4.6.2,Up-to-date
optionator,0.9.4,0.9.4,Up-to-date
text-table,0.2.0,0.2.0,Up-to-date
accepts,1.3.8,1.3.8,Up-to-date
array-flatten,1.1.1,3.0.0,Update available (3.0.0)
body-parser,1.20.3,2.2.0,Update available (2.2.0)
iconv-lite,0.4.24,0.7.0,Update available (0.7.0)
content-disposition,0.5.4,0.5.4,Up-to-date
content-type,1.0.5,1.0.5,Up-to-date
cookie-signature,1.0.6,1.2.2,Update available (1.2.2)
cookie,0.7.1,1.0.2,Update available (1.0.2)
depd,2.0.0,2.0.0,Up-to-date
encodeurl,2.0.0,2.0.0,Up-to-date
escape-html,1.0.3,1.0.3,Up-to-date
etag,1.8.1,1.8.1,Up-to-date
finalhandler,1.3.1,2.1.0,Update available (2.1.0)
fresh,0.5.2,0.5.2,Up-to-date
http-errors,2.0.0,2.0.0,Up-to-date
merge-descriptors,1.0.3,2.0.0,Update available (2.0.0)
methods,1.1.2,1.1.2,Up-to-date
on-finished,2.4.1,2.4.1,Up-to-date
parseurl,1.3.3,1.3.3,Up-to-date
path-to-regexp,0.1.12,8.3.0,Update available (8.3.0)
proxy-addr,2.0.7,2.0.7,Up-to-date
qs,6.13.0,6.14.0,Update available (6.14.0)
range-parser,1.2.1,1.2.1,Up-to-date
safe-buffer,5.2.1,5.2.1,Up-to-date
send,0.19.0,1.2.0,Update available (1.2.0)
encodeurl,1.0.2,2.0.0,Update available (2.0.0)
serve-static,1.16.2,2.2.0,Update available (2.2.0)
setprototypeof,1.2.0,1.2.0,Up-to-date
statuses,2.0.1,2.0.2,Update available (2.0.2)
type-is,1.6.18,2.0.1,Update available (2.0.1)
utils-merge,1.0.1,1.0.1,Up-to-date
vary,1.1.2,1.1.2,Up-to-date
graceful-fs,4.2.11,4.2.11,Up-to-date
jsonfile,6.2.0,6.2.0,Up-to-date
universalify,2.0.1,2.0.1,Up-to-date
globby,14.1.0,14.1.0,Up-to-date
jsonc-parser,3.3.1,3.3.1,Up-to-date
markdownlint-cli2-formatter-default,0.0.5,0.0.5,Up-to-date
markdownlint,0.38.0,0.38.0,Up-to-date
micromatch,4.0.8,4.0.8,Up-to-date
browser-stdout,1.3.1,1.3.1,Up-to-date
chokidar,4.0.3,4.0.3,Up-to-date
diff,7.0.0,8.0.2,Update available (8.0.2)
glob,10.4.5,11.0.3,Update available (11.0.3)
he,1.2.0,1.2.0,Up-to-date
log-symbols,4.1.0,7.0.1,Update available (7.0.1)
minimatch,9.0.5,10.0.3,Update available (10.0.3)
picocolors,1.1.1,1.1.1,Up-to-date
serialize-javascript,6.0.2,6.0.2,Up-to-date
strip-json-comments,3.1.1,5.0.3,Update available (5.0.3)
workerpool,9.3.3,9.3.3,Up-to-date
yargs-parser,21.1.1,22.0.0,Update available (22.0.0)
yargs-unparser,2.0.0,2.0.0,Up-to-date
decamelize,4.0.0,6.0.1,Update available (6.0.1)
is-plain-obj,2.1.0,4.1.0,Update available (4.1.0)
yargs,17.7.2,18.0.0,Update available (18.0.0)
mongodb-memory-server-core,10.2.0,10.2.0,Up-to-date
tar-stream,3.1.7,3.1.7,Up-to-date
yauzl,3.2.0,3.2.0,Up-to-date
tslib,2.8.1,2.8.1,Up-to-date
saslprep,1.3.0,1.0.3,Current version is newer than npm (1.0.3)
mongodb-connection-string-url,3.0.2,3.0.2,Up-to-date
load-nyc-config,1.1.0,,Not Found
js-yaml,3.14.1,4.1.0,Update available (4.1.0)
argparse,1.0.10,2.0.1,Update available (2.0.1)
